filename,NIMA mean score,NIMA standard deviation score,White space,Filesize,GPT4-Aesthetic,GPT4-Level of Detail,GPT4-Usefulness for Designers,GPT4-Overall AVG,rate my img,humans_o
5-short_text2img-kreaAI.png,6.4005,1.6283,0.6639,642798,6,1,3,3.33,7,6.376068376
5-short_text2img-lora.png,4.5995,1.624,0.3828,844741,5,6,5,5.67,5,4.94017094
5-short_text2img-stable_diffusion1.5.jpg,5.1636,1.6429,0.4114,845896,6,1,3,4,4,3.948717949
6-long_img2img-kreaAI.png,4.7413,1.7958,0.898,256939,3,1,2,8,6,5.358974359
6-long_img2img-lora.png,4.4947,1.8392,0.9463,378354,3,1,2,8.67,4,4.170940171
6-long_img2img-stable_diffusion1.5.jpeg,4.2851,1.8923,0.8969,522779,3,1,2,8,5,4.52991453
6-long_text2img-kreaAI.png,5.4724,1.7135,0.8284,460973,3,1,2,4.33,6,4.811965812
6-long_text2img-lora.png,4.6015,1.6677,0.5186,1080515,8,5,6,5.67,7,5.034188034
6-long_text2img-stable_diffusion1.5.jpg,5.4682,1.7777,0.7314,1160211,5,1,3,6,5,4.111111111
6-short_img2img-kreaAI.png,4.8673,1.7925,0.9203,226899,2,2,2,8.67,7,5.64957265
6-short_img2img-lora.png,4.5677,1.9291,0.7981,367361,2,1,1,9.33,5,3.923076923
6-short_img2img-stable_diffusion1.5.jpeg,3.9702,1.8199,0.4131,511773,3,2,2,7.67,4,4.128205128
6-short_text2img-kreaAI.png,4.1792,1.7394,0.8514,373912,2,1,1,3,6,5.324786325
6-short_text2img-lora.png,4.7936,1.7291,0.7257,1547559,9,6,7,4.33,6,4.564102564
6-short_text2img-stable_diffusion1.5.jpg,5.5923,1.6222,0.9323,816406,7,4,5,6,7,4.974358974
7-long_img2img-kreaAI.png,4.6999,1.834,0.5425,239531,2,1,1,9.33,5,4.829059829
7-long_img2img-lora.png,4.2511,1.8707,0.917,533647,2,2,2,9,5,4.282051282
7-long_img2img-stable_diffution1.5.jpeg,4.351,1.8073,0.7005,543006,3,3,3,8,4,4.871794872
7-long_text2img-kreaAI.png,4.3828,1.6881,0.8965,227311,3,1,2,3.33,5,4.282051282
7-long_text2img-lora.png,4.0968,1.564,0.4705,823423,8,1,4,5.33,6,3.521367521
7-long_text2img-stable_diffusion1.5.jpeg,,,,511773,3,2,2,8.67,4,3.615384615
7-short_img2img-kreaAI.png,4.746,1.7812,0.5944,196729,2,1,1,9.67,5,4.777777778
7-short_img2img-lora.png,4.3918,1.8906,0.892,527666,2,2,2,9.67,4,4.051282051
7-short_img2img-stable_diffusion1.5.jpeg,4.147,1.8562,0.3478,652132,2,2,2,10,3,4.615384615
7-short_text2img-kreaAI.png,4.6949,1.7511,0.8944,229241,1,1,1,2.33,5,4.136752137
7-short_text2img-lora.png,4.3558,1.6519,0.3605,916963,9,6,7,5.33,6,4.042735043
7-short_text2img-stable_diffusion1.5.jpg,4.7106,1.7892,0.588,1110536,6,3,4,5.67,4,3.52991453
